,declarationDate,fyDeclared
0,1953-05-02T00:00:00.000Z,1953
1,1954-06-23T00:00:00.000Z,1954
2,1953-05-29T00:00:00.000Z,1953
3,1954-11-10T00:00:00.000Z,1955
4,1953-06-19T00:00:00.000Z,1953
5,1955-06-01T00:00:00.000Z,1955
6,1953-10-22T00:00:00.000Z,1953
7,1955-08-13T00:00:00.000Z,1955
8,1954-10-07T00:00:00.000Z,1954
9,1953-06-06T00:00:00.000Z,1953
10,1954-10-26T00:00:00.000Z,1954
11,1953-06-09T00:00:00.000Z,1953
12,1955-04-01T00:00:00.000Z,1955
13,1954-08-04T00:00:00.000Z,1954
14,1955-12-22T00:00:00.000Z,1956
15,1954-09-17T00:00:00.000Z,1954
16,1954-09-02T00:00:00.000Z,1954
17,1953-07-02T00:00:00.000Z,1953
18,1955-06-21T00:00:00.000Z,1955
19,1954-02-05T00:00:00.000Z,1954
20,1955-08-20T00:00:00.000Z,1955
21,1954-10-13T00:00:00.000Z,1954
22,1954-03-17T00:00:00.000Z,1954
23,1955-08-20T00:00:00.000Z,1955
24,1954-07-31T00:00:00.000Z,1954
25,1955-08-22T00:00:00.000Z,1955
26,1956-03-29T00:00:00.000Z,1956
27,1957-05-29T00:00:00.000Z,1957
28,1960-05-28T00:00:00.000Z,1960
29,1957-03-16T00:00:00.000Z,1957
30,1960-01-21T00:00:00.000Z,1960
31,1956-12-29T00:00:00.000Z,1957
32,1959-01-23T00:00:00.000Z,1959
33,1953-12-06T00:00:00.000Z,1954
34,1955-08-20T00:00:00.000Z,1955
35,1956-10-04T00:00:00.000Z,1956
36,1959-01-23T00:00:00.000Z,1959
37,1953-10-30T00:00:00.000Z,1953
38,1955-08-15T00:00:00.000Z,1955
39,1956-08-31T00:00:00.000Z,1956
40,1958-11-06T00:00:00.000Z,1959
41,1956-05-17T00:00:00.000Z,1956
42,1958-04-04T00:00:00.000Z,1958
43,1956-03-15T00:00:00.000Z,1956
44,1957-05-27T00:00:00.000Z,1957
45,1960-05-25T00:00:00.000Z,1960
46,1957-03-06T00:00:00.000Z,1957
47,1959-11-09T00:00:00.000Z,1960
48,1954-07-14T00:00:00.000Z,1954
49,1955-08-20T00:00:00.000Z,1955
50,1957-03-01T00:00:00.000Z,1957
51,1959-08-16T00:00:00.000Z,1959
52,1954-07-01T00:00:00.000Z,1954
53,1955-08-20T00:00:00.000Z,1955
54,1957-02-01T00:00:00.000Z,1957
55,1959-07-08T00:00:00.000Z,1959
56,1956-08-18T00:00:00.000Z,1956
57,1958-10-01T00:00:00.000Z,1958
58,1956-04-24T00:00:00.000Z,1956
59,1957-09-05T00:00:00.000Z,1957
60,1956-02-25T00:00:00.000Z,1956
61,1957-05-22T00:00:00.000Z,1957
62,1960-04-20T00:00:00.000Z,1960
63,1954-09-13T00:00:00.000Z,1954
64,1955-12-29T00:00:00.000Z,1956
65,1957-05-18T00:00:00.000Z,1957
66,1960-04-08T00:00:00.000Z,1960
67,1954-09-02T00:00:00.000Z,1954
68,1955-12-24T00:00:00.000Z,1956
69,1957-05-16T00:00:00.000Z,1957
70,1960-04-04T00:00:00.000Z,1960
71,1955-08-20T00:00:00.000Z,1955
72,1957-01-31T00:00:00.000Z,1957
73,1959-07-08T00:00:00.000Z,1959
74,1956-08-09T00:00:00.000Z,1956
75,1958-07-05T00:00:00.000Z,1958
76,1956-04-21T00:00:00.000Z,1956
77,1957-06-22T00:00:00.000Z,1957
78,1953-06-02T00:00:00.000Z,1953
79,1954-10-17T00:00:00.000Z,1954
80,1956-04-07T00:00:00.000Z,1956
81,1957-06-22T00:00:00.000Z,1957
82,1953-05-15T00:00:00.000Z,1953
83,1954-10-17T00:00:00.000Z,1954
84,1956-04-05T00:00:00.000Z,1956
85,1957-06-22T00:00:00.000Z,1957
86,1960-07-15T00:00:00.000Z,1960
87,1955-12-23T00:00:00.000Z,1956
88,1957-04-29T00:00:00.000Z,1957
89,1960-03-23T00:00:00.000Z,1960
90,1957-01-31T00:00:00.000Z,1957
91,1959-01-29T00:00:00.000Z,1959
92,1956-07-20T00:00:00.000Z,1956
93,1958-06-06T00:00:00.000Z,1958
94,1953-06-11T00:00:00.000Z,1953
95,1955-05-27T00:00:00.000Z,1955
96,1956-06-12T00:00:00.000Z,1956
97,1958-05-20T00:00:00.000Z,1958
98,1953-06-11T00:00:00.000Z,1953
99,1955-05-25T00:00:00.000Z,1955
