disasterNumber,disasterType,incidentType,title,hash
1,DR,Tornado,TORNADO,e6f77c3a97c63d478bf14c9a58f60a0d
17,DR,Flood,FLOOD,b0afe5b02eccaa5c8eed1d3f354b0f2b
3,DR,Flood,FLOOD,a6dd526e79d7292ae21a7f9430422931
31,DR,Other,SEVERE HARDSHIP,c0388e7b904ec46bec14718092965024
9,DR,Flood,FLOOD,4cd4150b6fb47c91e50e3c466726ea67
35,DR,Flood,FLOOD & TORNADO,0ff7aff8743f693923b6cfd3bd7bd3f6
12,DR,Flood,FLOOD,e1dd1b5fcd1a696666324e75fc3947e2
37,DR,Hurricane,HURRICANES,97f42550d76f5640ed0ec536019dbe74
26,DR,Hurricane,HURRICANES,edde11716f5ee9c6159415d3f91b4d31
5,DR,Flood,FLOODS,e7d2763d2bbece77c1d9d404cdfd7795
30,DR,Flood,FLOOD,9da11641005f89692675ed8f8bd6dd71
6,DR,Tornado,TORNADO,651d8c2509b27f596b6197beb8467991
32,DR,Volcano,VOLCANO,e1ec681591ad8a7ff864895a7df13925
21,DR,Flood,FLOOD,fcd87c2c930a7832476fa367c891a9bc
46,DR,Other,SEVERE HARDSHIP,29a6ae12218f4c0918d9348211b0d2b4
25,DR,Hurricane,HURRICANES,7c909b0e806b0eca63a1281a8874998b
22,DR,Hurricane,HURRICANES,a1c34fceb23426ad1107f608ffc8f976
11,DR,Fire,FOREST FIRE,08f121919f2b6338bb3e83b01b203425
36,DR,Flood,FLOOD,05fb9a56fcb20338ed9ee3d29b348366
15,DR,Flood,FLOOD & EROSION,b953d064c3382fd113f2d137853f34d0
40,DR,Flood,FLOODS & RAINS,bf1f1e2de2f9f1a415948e17642077e0
27,DR,Flood,FLOOD,52b59373216310c3ffb3b3b0731550b9
16,DR,Tornado,TORNADO,e53be160b14fd7e1412c10a9af229e4f
41,DR,Hurricane,HURRICANE & FLOODS,e8e7fc4ba3d5e5cce04bfa9ed1b1135e
20,DR,Flood,FLOOD,faeef061de90973feb2693e34f218a66
45,DR,Hurricane,HURRICANE & FLOODS,48d904f7cd09deae9619ca25f757a0be
52,DR,Flood,FLOOD,1e5bd3efbb9c0cdcb50238c4044758d0
