,declaredCountyArea,placeCode
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,Clay (County),99021.0
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,Humboldt (County),99023.0
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,Modoc (County),99049.0
119,,
120,,
121,,
122,,
123,Sacramento (County),99067.0
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,Butte (County),99007.0
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,Marin (County),99041.0
146,Plumas (County),99063.0
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,Alpine (County),99003.0
157,Glenn (County),99021.0
158,,
159,,
160,,
161,Lassen (County),99035.0
162,,
163,,
164,,
165,Napa (County),99055.0
166,,
167,,
168,Placer (County),99061.0
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,Colusa (County),99011.0
177,,
178,,
179,Amador (County),99005.0
180,,
181,,
182,,
183,Del Norte (County),99015.0
184,,
185,,
186,,
187,Lake (County),99033.0
188,,
189,,
190,El Dorado (County),99017.0
191,Mendocino (County),99045.0
192,,
193,,
194,,
195,Nevada (County),99057.0
196,,
197,,
198,,
199,San Joaquin (County),99077.0
200,Shasta (County),99089.0
201,Hood River (County),99027.0
202,Grant (County),99023.0
203,Clatsop (County),99007.0
204,Benton (County),99003.0
205,Deschutes (County),99017.0
206,Crook (County),99013.0
207,Yolo (County),99113.0
208,Trinity (County),99105.0
209,Stanislaus (County),99099.0
210,Sierra (County),99091.0
211,Josephine (County),99033.0
212,Lake (County),99037.0
213,Tillamook (County),99057.0
214,King (County),99033.0
215,Wahkiakum (County),99069.0
216,Elmore (County),99039.0
217,Asotin (County),99003.0
218,Linn (County),99043.0
219,Boise (County),99015.0
220,Lewis (County),99041.0
221,Baker (County),99001.0
222,Idaho (County),99049.0
223,Multnomah (County),99051.0
224,Skamania (County),99059.0
225,Gilliam (County),99021.0
226,Solano (County),99095.0
227,Yamhill (County),99071.0
228,Jackson (County),99029.0
229,Columbia (County),99013.0
