disasterNumber,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,declarationDate,fyDeclared
1,0,1,1,1,1953-05-02T00:00:00.000Z,1953
17,0,1,1,1,1954-06-23T00:00:00.000Z,1954
3,0,1,1,1,1953-05-29T00:00:00.000Z,1953
31,0,1,1,1,1954-11-10T00:00:00.000Z,1955
9,0,1,1,1,1953-06-19T00:00:00.000Z,1953
35,0,1,1,1,1955-06-01T00:00:00.000Z,1955
12,0,1,1,1,1953-10-22T00:00:00.000Z,1953
37,0,1,1,1,1955-08-13T00:00:00.000Z,1955
26,0,1,1,1,1954-10-07T00:00:00.000Z,1954
5,0,1,1,1,1953-06-06T00:00:00.000Z,1953
30,0,1,1,1,1954-10-26T00:00:00.000Z,1954
6,0,1,1,1,1953-06-09T00:00:00.000Z,1953
32,0,1,1,1,1955-04-01T00:00:00.000Z,1955
21,0,1,1,1,1954-08-04T00:00:00.000Z,1954
46,0,1,1,1,1955-12-22T00:00:00.000Z,1956
25,0,1,1,1,1954-09-17T00:00:00.000Z,1954
22,0,1,1,1,1954-09-02T00:00:00.000Z,1954
11,0,1,1,1,1953-07-02T00:00:00.000Z,1953
36,0,1,1,1,1955-06-21T00:00:00.000Z,1955
15,0,1,1,1,1954-02-05T00:00:00.000Z,1954
40,0,1,1,1,1955-08-20T00:00:00.000Z,1955
27,0,1,1,1,1954-10-13T00:00:00.000Z,1954
16,0,1,1,1,1954-03-17T00:00:00.000Z,1954
41,0,1,1,1,1955-08-20T00:00:00.000Z,1955
20,0,1,1,1,1954-07-31T00:00:00.000Z,1954
45,0,1,1,1,1955-08-22T00:00:00.000Z,1955
52,0,1,1,1,1956-03-29T00:00:00.000Z,1956
77,0,1,1,1,1957-05-29T00:00:00.000Z,1957
102,0,1,1,1,1960-05-28T00:00:00.000Z,1960
71,0,1,1,1,1957-03-16T00:00:00.000Z,1957
96,0,1,1,1,1960-01-21T00:00:00.000Z,1960
65,0,1,1,1,1956-12-29T00:00:00.000Z,1957
90,0,1,1,1,1959-01-23T00:00:00.000Z,1959
14,0,1,1,1,1953-12-06T00:00:00.000Z,1954
39,0,1,1,1,1955-08-20T00:00:00.000Z,1955
64,0,1,1,1,1956-10-04T00:00:00.000Z,1956
89,0,1,1,1,1959-01-23T00:00:00.000Z,1959
13,0,1,1,1,1953-10-30T00:00:00.000Z,1953
38,0,1,1,1,1955-08-15T00:00:00.000Z,1955
63,0,1,1,1,1956-08-31T00:00:00.000Z,1956
88,0,1,1,1,1958-11-06T00:00:00.000Z,1959
57,0,1,1,1,1956-05-17T00:00:00.000Z,1956
82,0,1,1,1,1958-04-04T00:00:00.000Z,1958
51,0,1,1,1,1956-03-15T00:00:00.000Z,1956
76,0,1,1,1,1957-05-27T00:00:00.000Z,1957
101,0,1,1,1,1960-05-25T00:00:00.000Z,1960
70,0,1,1,1,1957-03-06T00:00:00.000Z,1957
95,0,1,1,1,1959-11-09T00:00:00.000Z,1960
19,0,1,1,1,1954-07-14T00:00:00.000Z,1954
44,0,1,1,1,1955-08-20T00:00:00.000Z,1955
69,0,1,1,1,1957-03-01T00:00:00.000Z,1957
94,0,1,1,1,1959-08-16T00:00:00.000Z,1959
18,0,1,1,1,1954-07-01T00:00:00.000Z,1954
43,0,1,1,1,1955-08-20T00:00:00.000Z,1955
68,0,1,1,1,1957-02-01T00:00:00.000Z,1957
93,0,1,1,1,1959-07-08T00:00:00.000Z,1959
62,0,1,1,1,1956-08-18T00:00:00.000Z,1956
87,0,1,1,1,1958-10-01T00:00:00.000Z,1958
56,0,1,1,1,1956-04-24T00:00:00.000Z,1956
81,0,1,1,1,1957-09-05T00:00:00.000Z,1957
50,0,1,1,1,1956-02-25T00:00:00.000Z,1956
75,0,1,1,1,1957-05-22T00:00:00.000Z,1957
100,0,1,1,1,1960-04-20T00:00:00.000Z,1960
24,0,1,1,1,1954-09-13T00:00:00.000Z,1954
49,0,1,1,1,1955-12-29T00:00:00.000Z,1956
74,0,1,1,1,1957-05-18T00:00:00.000Z,1957
99,0,1,1,1,1960-04-08T00:00:00.000Z,1960
23,0,1,1,1,1954-09-02T00:00:00.000Z,1954
48,0,1,1,1,1955-12-24T00:00:00.000Z,1956
73,0,1,1,1,1957-05-16T00:00:00.000Z,1957
98,0,1,1,1,1960-04-04T00:00:00.000Z,1960
42,0,1,1,1,1955-08-20T00:00:00.000Z,1955
67,0,1,1,1,1957-01-31T00:00:00.000Z,1957
92,0,1,1,1,1959-07-08T00:00:00.000Z,1959
61,0,1,1,1,1956-08-09T00:00:00.000Z,1956
86,0,1,1,1,1958-07-05T00:00:00.000Z,1958
55,0,1,1,1,1956-04-21T00:00:00.000Z,1956
80,0,1,1,1,1957-06-22T00:00:00.000Z,1957
4,0,1,1,1,1953-06-02T00:00:00.000Z,1953
29,0,1,1,1,1954-10-17T00:00:00.000Z,1954
54,0,1,1,1,1956-04-07T00:00:00.000Z,1956
79,0,1,1,1,1957-06-22T00:00:00.000Z,1957
2,0,1,1,1,1953-05-15T00:00:00.000Z,1953
28,0,1,1,1,1954-10-17T00:00:00.000Z,1954
53,0,1,1,1,1956-04-05T00:00:00.000Z,1956
78,0,1,1,1,1957-06-22T00:00:00.000Z,1957
103,0,1,1,1,1960-07-15T00:00:00.000Z,1960
47,0,1,1,1,1955-12-23T00:00:00.000Z,1956
72,0,1,1,1,1957-04-29T00:00:00.000Z,1957
97,0,1,1,1,1960-03-23T00:00:00.000Z,1960
66,0,1,1,1,1957-01-31T00:00:00.000Z,1957
91,0,1,1,0,1959-01-29T00:00:00.000Z,1959
60,0,1,1,1,1956-07-20T00:00:00.000Z,1956
85,0,1,1,1,1958-06-06T00:00:00.000Z,1958
8,0,1,1,1,1953-06-11T00:00:00.000Z,1953
34,0,1,1,1,1955-05-27T00:00:00.000Z,1955
59,0,1,1,1,1956-06-12T00:00:00.000Z,1956
84,0,1,1,1,1958-05-20T00:00:00.000Z,1958
7,0,1,1,1,1953-06-11T00:00:00.000Z,1953
33,0,1,1,1,1955-05-25T00:00:00.000Z,1955
58,0,1,1,1,1956-05-21T00:00:00.000Z,1956
83,0,1,1,1,1958-05-15T00:00:00.000Z,1958
110,0,1,1,1,1961-03-02T00:00:00.000Z,1961
106,0,1,1,1,1960-09-12T00:00:00.000Z,1960
104,0,1,1,1,1960-07-15T00:00:00.000Z,1960
108,0,1,1,1,1961-02-27T00:00:00.000Z,1961
115,0,1,1,1,1961-05-27T00:00:00.000Z,1961
140,0,1,1,1,1962-11-12T00:00:00.000Z,1963
165,0,1,1,1,1964-03-20T00:00:00.000Z,1964
183,0,1,1,0,1964-12-24T00:00:00.000Z,1965
113,0,1,1,1,1961-05-20T00:00:00.000Z,1961
119,0,1,1,1,1961-11-16T00:00:00.000Z,1962
120,0,1,1,1,1962-02-14T00:00:00.000Z,1962
144,0,1,1,1,1963-02-25T00:00:00.000Z,1963
145,0,1,1,1,1963-02-25T00:00:00.000Z,1963
169,0,1,1,1,1964-04-01T00:00:00.000Z,1964
170,0,1,1,1,1964-05-26T00:00:00.000Z,1964
118,0,1,1,1,1961-09-16T00:00:00.000Z,1961
183,0,1,1,0,1964-12-24T00:00:00.000Z,1965
125,0,1,1,1,1962-03-09T00:00:00.000Z,1962
124,0,1,1,1,1962-03-09T00:00:00.000Z,1962
150,0,1,1,1,1963-03-26T00:00:00.000Z,1963
175,0,1,1,1,1964-09-08T00:00:00.000Z,1964
183,0,1,1,0,1964-12-24T00:00:00.000Z,1965
123,0,1,1,1,1962-03-09T00:00:00.000Z,1962
129,0,1,1,1,1962-03-16T00:00:00.000Z,1962
130,0,1,1,1,1962-03-16T00:00:00.000Z,1962
154,0,1,1,0,1963-04-30T00:00:00.000Z,1963
155,0,1,1,1,1963-07-04T00:00:00.000Z,1963
179,0,1,1,1,1964-10-13T00:00:00.000Z,1964
180,0,1,1,1,1964-11-04T00:00:00.000Z,1965
128,0,1,1,1,1962-03-12T00:00:00.000Z,1962
109,0,1,1,1,1961-02-27T00:00:00.000Z,1961
135,0,1,1,1,1962-10-10T00:00:00.000Z,1962
134,0,1,1,1,1962-09-05T00:00:00.000Z,1962
160,0,1,1,1,1963-11-27T00:00:00.000Z,1964
159,0,1,1,1,1963-09-24T00:00:00.000Z,1963
183,0,1,1,0,1964-12-24T00:00:00.000Z,1965
114,0,1,1,1,1961-05-27T00:00:00.000Z,1961
149,0,1,1,1,1963-03-21T00:00:00.000Z,1963
174,0,1,1,1,1964-07-20T00:00:00.000Z,1964
139,0,1,1,1,1962-11-05T00:00:00.000Z,1963
164,0,1,1,1,1964-03-17T00:00:00.000Z,1964
143,0,1,1,1,1963-02-14T00:00:00.000Z,1963
168,0,1,1,1,1964-03-28T00:00:00.000Z,1964
183,0,1,1,0,1964-12-24T00:00:00.000Z,1965
183,0,1,1,0,1964-12-24T00:00:00.000Z,1965
127,0,1,1,1,1962-03-09T00:00:00.000Z,1962
152,0,1,1,1,1963-04-24T00:00:00.000Z,1963
177,0,1,1,1,1964-09-10T00:00:00.000Z,1964
107,0,1,1,1,1960-09-16T00:00:00.000Z,1960
131,0,1,1,1,1962-05-10T00:00:00.000Z,1962
156,0,1,1,1,1963-07-17T00:00:00.000Z,1963
181,0,1,1,0,1964-12-10T00:00:00.000Z,1965
133,0,1,1,1,1962-09-05T00:00:00.000Z,1962
158,0,1,1,1,1963-08-23T00:00:00.000Z,1963
183,0,1,1,0,1964-12-24T00:00:00.000Z,1965
183,0,1,1,0,1964-12-24T00:00:00.000Z,1965
117,0,1,1,1,1961-07-23T00:00:00.000Z,1961
142,0,1,1,1,1963-02-14T00:00:00.000Z,1963
167,0,1,1,1,1964-03-24T00:00:00.000Z,1964
183,0,1,1,0,1964-12-24T00:00:00.000Z,1965
121,0,1,1,1,1962-02-22T00:00:00.000Z,1962
146,0,1,1,1,1963-03-02T00:00:00.000Z,1963
171,0,1,1,1,1964-06-08T00:00:00.000Z,1964
183,0,1,1,0,1964-12-24T00:00:00.000Z,1965
148,0,1,1,1,1963-03-13T00:00:00.000Z,1963
173,0,1,1,1,1964-07-08T00:00:00.000Z,1964
183,0,1,1,0,1964-12-24T00:00:00.000Z,1965
105,0,1,1,1,1960-07-22T00:00:00.000Z,1960
132,0,1,1,1,1962-07-27T00:00:00.000Z,1962
157,0,1,1,1,1963-08-02T00:00:00.000Z,1963
182,0,1,1,1,1964-12-18T00:00:00.000Z,1965
111,0,1,1,1,1961-03-31T00:00:00.000Z,1961
