disasterNumber,state,declaredCountyArea,placeCode
1,GA,,
17,IA,,
3,LA,,
31,AK,,
9,TX,,
35,OK,,
12,FL,,
37,NC,,
26,NY,,
5,MT,,
30,IN,,
6,MI,,
32,HI,,
21,WV,,
46,AK,,
25,CT,,
22,MA,,
11,NH,,
36,NV,,
15,CA,,
40,PA,,
27,NM,,
16,GA,,
41,NJ,,
20,SD,,
45,NY,,
52,NY,,
77,AR,,
102,AR,,
71,HI,,
96,HI,,
65,CA,,
90,OH,,
14,MS,,
39,RI,,
64,LA,,
89,PA,,
13,AK,,
38,NM,,
63,NV,,
88,KS,,
57,OH,,
82,CA,,
51,PA,,
76,ID,,
101,HI,,
70,WA,,
95,OK,,
19,NV,,
44,SC,,
69,OR,,
94,HI,,
18,TX,,
43,MA,,
68,VA,,
93,TX,,
62,PR,,
87,NC,,
56,NC,,
81,KS,,
50,WA,,
75,MO,,
100,MO,,
24,ME,,
49,OR,,
74,OK,,
99,SD,,
23,RI,,
48,NV,,
73,LA,,
98,NE,,
42,CT,,
67,WV,,
92,OK,,
61,PA,,
86,IA,,
55,ID,,
80,MN,,
4,MI,,
29,SC,,
54,OK,,
79,ND,,
2,TX,,
28,NC,,
53,MI,,
78,IL,,
103,TX,,
47,CA,,
72,TX,,
97,FL,,
66,KY,,
91,IN,Clay (County),99021.0
60,OR,,
85,TX,,
8,IA,,
34,KS,,
59,CO,,
84,LA,,
7,MA,,
33,CO,,
58,PA,,
83,AR,,
110,GA,,
106,FL,,
104,OK,,
108,MS,,
115,IL,,
140,GU,,
165,WV,,
183,CA,Humboldt (County),99023.0
113,IN,,
119,CA,,
120,ID,,
144,OR,,
145,CA,,
169,CA,,
170,PR,,
118,TX,,
183,CA,Modoc (County),99049.0
125,WV,,
124,NJ,,
150,GA,,
175,FL,,
183,CA,Sacramento (County),99067.0
123,VA,,
129,NY,,
130,NC,,
154,FM,,
155,WY,,
179,NC,,
180,GA,,
128,KY,,
109,AL,,
135,MS,,
134,NE,,
160,VT,,
159,TX,,
183,CA,Butte (County),99007.0
114,MO,,
149,VA,,
174,NE,,
139,LA,,
164,VT,,
143,ID,,
168,AK,,
183,CA,Marin (County),99041.0
183,CA,Plumas (County),99063.0
127,MD,,
152,HI,,
177,GA,,
107,NC,,
131,NE,,
156,NE,,
181,FM,,
133,IA,,
158,NY,,
183,CA,Alpine (County),99003.0
183,CA,Glenn (County),99021.0
117,WV,,
142,NV,,
167,OH,,
183,CA,Lassen (County),99035.0
121,NV,,
146,WA,,
171,VI,,
